Step,AgentID,Wealth,category,vision
1,2500,22,ant,3
,2501,10,ant,1
,2502,12,ant,2
,2503,12,ant,3
,2504,8,ant,1
,2505,21,ant,2
,2506,6,ant,1
,2507,4,ant,4
,2508,20,ant,4
,2509,18,ant,4
,2510,13,ant,1
,2511,4,ant,1
,2512,11,ant,1
,2513,17,ant,5
,2514,9,ant,5
,2515,10,ant,1
,2516,10,ant,1
,2517,12,ant,2
,2518,13,ant,2
,2519,15,ant,4
,2520,12,ant,2
,2521,10,ant,5
,2522,16,ant,3
,2523,18,ant,2
,2524,15,ant,4
,2525,5,ant,2
,2526,24,ant,2
,2527,21,ant,1
,2528,12,ant,1
,2529,20,ant,2
,2530,10,ant,4
,2531,12,ant,1
,2532,18,ant,2
,2533,5,ant,4
,2534,9,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,10,ant,5
,2539,8,ant,5
,2540,11,ant,5
,2541,7,ant,4
,2542,22,ant,5
,2543,11,ant,1
,2544,6,ant,5
,2545,7,ant,4
,2546,21,ant,3
,2547,7,ant,1
,2548,16,ant,1
,2549,11,ant,3
,2550,18,ant,2
,2551,7,ant,3
,2552,16,ant,4
,2553,21,ant,2
,2554,9,ant,5
,2555,6,ant,4
,2556,7,ant,2
,2557,6,ant,5
,2558,16,ant,1
,2559,21,ant,2
,2560,5,ant,3
,2561,12,ant,2
,2562,20,ant,5
,2563,13,ant,5
,2564,8,ant,4
,2565,7,ant,2
,2566,7,ant,3
,2567,13,ant,2
,2568,10,ant,5
,2569,25,ant,2
,2570,20,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,7,ant,2
,2574,19,ant,5
,2575,7,ant,5
,2576,12,ant,4
,2577,17,ant,2
,2578,9,ant,4
,2579,13,ant,5
,2580,24,ant,1
,2581,4,ant,1
,2582,15,ant,4
,2583,10,ant,5
,2584,3,ant,2
,2585,18,ant,1
,2586,12,ant,5
,2587,8,ant,5
,2588,19,ant,5
,2589,20,ant,5
,2590,21,ant,4
,2591,10,ant,4
,2592,22,ant,5
,2593,12,ant,5
,2594,15,ant,1
,2595,17,ant,3
,2596,19,ant,1
,2597,25,ant,5
,2598,25,ant,2
,2599,16,ant,2
2,2500,21,ant,3
,2501,12,ant,1
,2502,11,ant,2
,2503,11,ant,3
,2504,6,ant,1
,2505,22,ant,2
,2506,4,ant,1
,2507,2,ant,4
,2508,20,ant,4
,2509,20,ant,4
,2510,12,ant,1
,2511,2,ant,1
,2512,9,ant,1
,2513,15,ant,5
,2514,9,ant,5
,2515,11,ant,1
,2516,8,ant,1
,2517,13,ant,2
,2518,12,ant,2
,2519,15,ant,4
,2520,10,ant,2
,2521,12,ant,5
,2522,14,ant,3
,2523,18,ant,2
,2524,17,ant,4
,2525,3,ant,2
,2526,24,ant,2
,2527,20,ant,1
,2528,10,ant,1
,2529,18,ant,2
,2530,11,ant,4
,2531,11,ant,1
,2532,17,ant,2
,2533,4,ant,4
,2534,8,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,11,ant,5
,2539,9,ant,5
,2540,12,ant,5
,2541,6,ant,4
,2542,22,ant,5
,2543,11,ant,1
,2544,5,ant,5
,2545,7,ant,4
,2546,20,ant,3
,2547,5,ant,1
,2548,17,ant,1
,2549,11,ant,3
,2550,16,ant,2
,2551,8,ant,3
,2552,14,ant,4
,2553,22,ant,2
,2554,9,ant,5
,2555,6,ant,4
,2556,7,ant,2
,2557,5,ant,5
,2558,13,ant,1
,2559,23,ant,2
,2560,4,ant,3
,2561,11,ant,2
,2562,21,ant,5
,2563,11,ant,5
,2564,5,ant,4
,2565,8,ant,2
,2566,8,ant,3
,2567,12,ant,2
,2568,8,ant,5
,2569,27,ant,2
,2570,19,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,6,ant,2
,2574,20,ant,5
,2575,5,ant,5
,2576,11,ant,4
,2577,17,ant,2
,2578,10,ant,4
,2579,12,ant,5
,2580,24,ant,1
,2581,2,ant,1
,2582,13,ant,4
,2583,9,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,8,ant,5
,2588,18,ant,5
,2589,21,ant,5
,2590,19,ant,4
,2591,10,ant,4
,2592,23,ant,5
,2593,11,ant,5
,2594,16,ant,1
,2595,19,ant,3
,2596,18,ant,1
,2597,27,ant,5
,2598,26,ant,2
,2599,17,ant,2
3,2500,20,ant,3
,2501,14,ant,1
,2502,10,ant,2
,2503,10,ant,3
,2504,4,ant,1
,2505,23,ant,2
,2506,2,ant,1
,2508,20,ant,4
,2509,22,ant,4
,2510,11,ant,1
,2512,7,ant,1
,2513,13,ant,5
,2514,9,ant,5
,2515,12,ant,1
,2516,6,ant,1
,2517,14,ant,2
,2518,11,ant,2
,2519,15,ant,4
,2520,8,ant,2
,2521,14,ant,5
,2522,12,ant,3
,2523,18,ant,2
,2524,19,ant,4
,2525,1,ant,2
,2526,25,ant,2
,2527,19,ant,1
,2528,8,ant,1
,2529,16,ant,2
,2530,12,ant,4
,2531,10,ant,1
,2532,16,ant,2
,2533,4,ant,4
,2534,7,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,12,ant,5
,2539,10,ant,5
,2540,13,ant,5
,2541,5,ant,4
,2542,22,ant,5
,2543,11,ant,1
,2544,4,ant,5
,2545,7,ant,4
,2546,19,ant,3
,2547,3,ant,1
,2548,18,ant,1
,2549,11,ant,3
,2550,14,ant,2
,2551,9,ant,3
,2552,12,ant,4
,2553,23,ant,2
,2554,9,ant,5
,2555,6,ant,4
,2556,7,ant,2
,2557,4,ant,5
,2558,10,ant,1
,2559,25,ant,2
,2560,3,ant,3
,2561,10,ant,2
,2562,22,ant,5
,2563,9,ant,5
,2564,2,ant,4
,2565,9,ant,2
,2566,10,ant,3
,2567,11,ant,2
,2568,6,ant,5
,2569,29,ant,2
,2570,19,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,5,ant,2
,2574,21,ant,5
,2575,3,ant,5
,2576,11,ant,4
,2577,17,ant,2
,2578,11,ant,4
,2579,11,ant,5
,2580,24,ant,1
,2582,11,ant,4
,2583,9,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,8,ant,5
,2588,17,ant,5
,2589,22,ant,5
,2590,17,ant,4
,2591,10,ant,4
,2592,24,ant,5
,2593,10,ant,5
,2594,17,ant,1
,2595,21,ant,3
,2596,17,ant,1
,2597,29,ant,5
,2598,28,ant,2
,2599,18,ant,2
4,2500,19,ant,3
,2501,16,ant,1
,2502,9,ant,2
,2503,9,ant,3
,2504,2,ant,1
,2505,24,ant,2
,2508,20,ant,4
,2509,24,ant,4
,2510,10,ant,1
,2512,5,ant,1
,2513,11,ant,5
,2514,10,ant,5
,2515,13,ant,1
,2516,4,ant,1
,2517,15,ant,2
,2518,10,ant,2
,2519,15,ant,4
,2520,6,ant,2
,2521,16,ant,5
,2522,10,ant,3
,2523,18,ant,2
,2524,21,ant,4
,2526,26,ant,2
,2527,18,ant,1
,2528,6,ant,1
,2529,14,ant,2
,2530,13,ant,4
,2531,9,ant,1
,2532,15,ant,2
,2533,4,ant,4
,2534,6,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,13,ant,5
,2539,11,ant,5
,2540,14,ant,5
,2541,4,ant,4
,2542,22,ant,5
,2543,11,ant,1
,2544,3,ant,5
,2545,7,ant,4
,2546,18,ant,3
,2547,1,ant,1
,2548,19,ant,1
,2549,11,ant,3
,2550,12,ant,2
,2551,10,ant,3
,2552,10,ant,4
,2553,24,ant,2
,2554,9,ant,5
,2555,6,ant,4
,2556,7,ant,2
,2557,3,ant,5
,2558,7,ant,1
,2559,27,ant,2
,2560,2,ant,3
,2561,9,ant,2
,2562,23,ant,5
,2563,7,ant,5
,2565,10,ant,2
,2566,12,ant,3
,2567,10,ant,2
,2568,4,ant,5
,2569,31,ant,2
,2570,19,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,4,ant,2
,2574,22,ant,5
,2575,1,ant,5
,2576,11,ant,4
,2577,17,ant,2
,2578,12,ant,4
,2579,10,ant,5
,2580,24,ant,1
,2582,9,ant,4
,2583,9,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,9,ant,5
,2588,16,ant,5
,2589,23,ant,5
,2590,15,ant,4
,2591,10,ant,4
,2592,25,ant,5
,2593,9,ant,5
,2594,18,ant,1
,2595,23,ant,3
,2596,16,ant,1
,2597,31,ant,5
,2598,30,ant,2
,2599,19,ant,2
5,2500,19,ant,3
,2501,18,ant,1
,2502,8,ant,2
,2503,8,ant,3
,2505,25,ant,2
,2508,20,ant,4
,2509,26,ant,4
,2510,9,ant,1
,2512,3,ant,1
,2513,9,ant,5
,2514,11,ant,5
,2515,14,ant,1
,2516,2,ant,1
,2517,16,ant,2
,2518,9,ant,2
,2519,15,ant,4
,2520,4,ant,2
,2521,18,ant,5
,2522,8,ant,3
,2523,18,ant,2
,2524,23,ant,4
,2526,27,ant,2
,2527,17,ant,1
,2528,4,ant,1
,2529,12,ant,2
,2530,14,ant,4
,2531,8,ant,1
,2532,14,ant,2
,2533,4,ant,4
,2534,5,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,14,ant,5
,2539,12,ant,5
,2540,15,ant,5
,2541,3,ant,4
,2542,22,ant,5
,2543,11,ant,1
,2544,2,ant,5
,2545,8,ant,4
,2546,17,ant,3
,2548,20,ant,1
,2549,11,ant,3
,2550,10,ant,2
,2551,11,ant,3
,2552,8,ant,4
,2553,25,ant,2
,2554,9,ant,5
,2555,7,ant,4
,2556,7,ant,2
,2557,2,ant,5
,2558,4,ant,1
,2559,29,ant,2
,2560,1,ant,3
,2561,8,ant,2
,2562,24,ant,5
,2563,5,ant,5
,2565,11,ant,2
,2566,14,ant,3
,2567,9,ant,2
,2568,2,ant,5
,2569,33,ant,2
,2570,19,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,3,ant,2
,2574,23,ant,5
,2576,11,ant,4
,2577,17,ant,2
,2578,13,ant,4
,2579,9,ant,5
,2580,24,ant,1
,2582,7,ant,4
,2583,9,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,10,ant,5
,2588,15,ant,5
,2589,24,ant,5
,2590,13,ant,4
,2591,10,ant,4
,2592,26,ant,5
,2593,8,ant,5
,2594,19,ant,1
,2595,25,ant,3
,2596,15,ant,1
,2597,33,ant,5
,2598,32,ant,2
,2599,20,ant,2
6,2500,19,ant,3
,2501,20,ant,1
,2502,7,ant,2
,2503,7,ant,3
,2505,26,ant,2
,2508,20,ant,4
,2509,28,ant,4
,2510,8,ant,1
,2512,1,ant,1
,2513,7,ant,5
,2514,12,ant,5
,2515,15,ant,1
,2517,18,ant,2
,2518,8,ant,2
,2519,15,ant,4
,2520,2,ant,2
,2521,20,ant,5
,2522,6,ant,3
,2523,18,ant,2
,2524,25,ant,4
,2526,28,ant,2
,2527,16,ant,1
,2528,2,ant,1
,2529,10,ant,2
,2530,15,ant,4
,2531,7,ant,1
,2532,13,ant,2
,2533,4,ant,4
,2534,4,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,16,ant,5
,2539,13,ant,5
,2540,16,ant,5
,2541,2,ant,4
,2542,22,ant,5
,2543,12,ant,1
,2544,2,ant,5
,2545,9,ant,4
,2546,16,ant,3
,2548,21,ant,1
,2549,11,ant,3
,2550,8,ant,2
,2551,12,ant,3
,2552,6,ant,4
,2553,26,ant,2
,2554,9,ant,5
,2555,8,ant,4
,2556,8,ant,2
,2557,2,ant,5
,2558,1,ant,1
,2559,31,ant,2
,2561,7,ant,2
,2562,25,ant,5
,2563,3,ant,5
,2565,12,ant,2
,2566,16,ant,3
,2567,8,ant,2
,2569,35,ant,2
,2570,19,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,2,ant,2
,2574,24,ant,5
,2576,12,ant,4
,2577,17,ant,2
,2578,14,ant,4
,2579,8,ant,5
,2580,24,ant,1
,2582,5,ant,4
,2583,10,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,11,ant,5
,2588,14,ant,5
,2589,25,ant,5
,2590,11,ant,4
,2591,10,ant,4
,2592,27,ant,5
,2593,8,ant,5
,2594,20,ant,1
,2595,27,ant,3
,2596,14,ant,1
,2597,35,ant,5
,2598,34,ant,2
,2599,21,ant,2
7,2500,19,ant,3
,2501,22,ant,1
,2502,6,ant,2
,2503,6,ant,3
,2505,27,ant,2
,2508,20,ant,4
,2509,30,ant,4
,2510,7,ant,1
,2513,5,ant,5
,2514,13,ant,5
,2515,16,ant,1
,2517,20,ant,2
,2518,7,ant,2
,2519,15,ant,4
,2521,22,ant,5
,2522,4,ant,3
,2523,18,ant,2
,2524,27,ant,4
,2526,29,ant,2
,2527,15,ant,1
,2529,8,ant,2
,2530,16,ant,4
,2531,6,ant,1
,2532,12,ant,2
,2533,4,ant,4
,2534,3,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,18,ant,5
,2539,14,ant,5
,2540,17,ant,5
,2541,1,ant,4
,2542,22,ant,5
,2543,13,ant,1
,2544,2,ant,5
,2545,10,ant,4
,2546,15,ant,3
,2548,22,ant,1
,2549,12,ant,3
,2550,6,ant,2
,2551,13,ant,3
,2552,4,ant,4
,2553,27,ant,2
,2554,10,ant,5
,2555,9,ant,4
,2556,9,ant,2
,2557,2,ant,5
,2559,33,ant,2
,2561,6,ant,2
,2562,27,ant,5
,2563,1,ant,5
,2565,13,ant,2
,2566,18,ant,3
,2567,7,ant,2
,2569,37,ant,2
,2570,20,ant,5
,2571,7,ant,4
,2572,23,ant,2
,2573,1,ant,2
,2574,25,ant,5
,2576,13,ant,4
,2577,17,ant,2
,2578,15,ant,4
,2579,7,ant,5
,2580,24,ant,1
,2582,3,ant,4
,2583,11,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,12,ant,5
,2588,13,ant,5
,2589,26,ant,5
,2590,9,ant,4
,2591,10,ant,4
,2592,28,ant,5
,2593,8,ant,5
,2594,21,ant,1
,2595,29,ant,3
,2596,13,ant,1
,2597,37,ant,5
,2598,36,ant,2
,2599,22,ant,2
8,2500,20,ant,3
,2501,24,ant,1
,2502,5,ant,2
,2503,5,ant,3
,2505,28,ant,2
,2508,20,ant,4
,2509,32,ant,4
,2510,6,ant,1
,2513,3,ant,5
,2514,14,ant,5
,2515,17,ant,1
,2517,22,ant,2
,2518,6,ant,2
,2519,15,ant,4
,2521,24,ant,5
,2522,2,ant,3
,2523,18,ant,2
,2524,29,ant,4
,2526,30,ant,2
,2527,14,ant,1
,2529,6,ant,2
,2530,17,ant,4
,2531,5,ant,1
,2532,11,ant,2
,2533,4,ant,4
,2534,2,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,20,ant,5
,2539,15,ant,5
,2540,18,ant,5
,2542,22,ant,5
,2543,14,ant,1
,2544,2,ant,5
,2545,11,ant,4
,2546,14,ant,3
,2548,23,ant,1
,2549,13,ant,3
,2550,4,ant,2
,2551,14,ant,3
,2552,2,ant,4
,2553,29,ant,2
,2554,11,ant,5
,2555,10,ant,4
,2556,10,ant,2
,2557,3,ant,5
,2559,35,ant,2
,2561,5,ant,2
,2562,29,ant,5
,2565,15,ant,2
,2566,20,ant,3
,2567,6,ant,2
,2569,39,ant,2
,2570,21,ant,5
,2571,8,ant,4
,2572,23,ant,2
,2574,26,ant,5
,2576,14,ant,4
,2577,17,ant,2
,2578,16,ant,4
,2579,6,ant,5
,2580,24,ant,1
,2582,1,ant,4
,2583,12,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,14,ant,5
,2588,12,ant,5
,2589,27,ant,5
,2590,7,ant,4
,2591,10,ant,4
,2592,29,ant,5
,2593,8,ant,5
,2594,22,ant,1
,2595,31,ant,3
,2596,12,ant,1
,2597,39,ant,5
,2598,38,ant,2
,2599,23,ant,2
9,2500,21,ant,3
,2501,26,ant,1
,2502,4,ant,2
,2503,4,ant,3
,2505,29,ant,2
,2508,20,ant,4
,2509,34,ant,4
,2510,5,ant,1
,2513,1,ant,5
,2514,15,ant,5
,2515,18,ant,1
,2517,24,ant,2
,2518,5,ant,2
,2519,15,ant,4
,2521,26,ant,5
,2523,18,ant,2
,2524,31,ant,4
,2526,31,ant,2
,2527,13,ant,1
,2529,4,ant,2
,2530,18,ant,4
,2531,4,ant,1
,2532,10,ant,2
,2533,4,ant,4
,2534,1,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,22,ant,5
,2539,16,ant,5
,2540,19,ant,5
,2542,22,ant,5
,2543,15,ant,1
,2544,2,ant,5
,2545,12,ant,4
,2546,13,ant,3
,2548,25,ant,1
,2549,14,ant,3
,2550,2,ant,2
,2551,15,ant,3
,2553,31,ant,2
,2554,12,ant,5
,2555,11,ant,4
,2556,11,ant,2
,2557,4,ant,5
,2559,37,ant,2
,2561,4,ant,2
